ID,item_cnt_month
0,7.095927222
1,4.952836099
2,6.32758781
3,5.800074048
4,5.927776532
5,6.550566793
6,7.962217261
7,6.644316243
8,8.57257717
9,6.51649384
10,7.45178637
11,10.5159033
12,5.698453681
13,7.459781523
14,10.16537266
15,9.625572087
16,5.691635314
17,5.652917335
18,10.76327244
19,7.796568701
20,7.281695758
21,5.631104796
22,10.92133205
23,6.349304455
24,6.709971272
25,6.59340608
26,5.636202785
27,6.335226282
28,7.811157378
29,10.63293658
30,8.693547495
31,6.91043819
32,8.734520098
33,11.80975887
34,6.858824526
35,7.010413131
36,7.045938246
37,8.717872036
38,5.810475187
39,5.795733951
40,6.733443448
41,8.823208313
42,9.519531762
43,13.03834807
44,11.04427649
45,6.035089532
46,13.44278849
47,10.96079126
48,6.789757466
49,8.352976194
50,7.233136483
51,5.984957879
52,5.719057105
53,10.5484367
54,31.21218789
55,13.88319586
56,10.36946377
57,10.90715528
58,11.38510842
59,19.50455429
60,11.65230572
61,6.513186188
62,6.714624752
63,7.900840638
64,6.1078986
65,5.943858876
66,6.471818089
67,5.668676132
68,6.784205789
69,7.541219895
70,5.927269426
71,7.601425062
72,5.870793548
73,16.07091392
74,6.121719275
75,6.072880432
76,5.752262705
77,6.100122961
78,6.557387762
79,6.374121758
80,8.048463632
81,6.910096953
82,7.069843531
83,6.397103292
84,7.030452036
85,6.548301588
86,6.888452217
87,5.802172035
88,7.356718797
89,8.223543954
90,5.883346674
91,5.586903879
92,7.584014999
93,6.202267466
94,7.708366216
95,5.571446287
96,5.553378522
97,6.677081504
98,8.218040273
99,30.78423826
100,19.96724928
101,6.399228956
102,6.052903238
103,6.576502892
104,5.775119679
105,5.883435441
106,5.70897445
107,16.52454165
108,5.715264094
109,5.942309983
110,5.868922622
111,5.971120426
112,7.912655582
113,7.818547468
114,6.756179457
115,5.879280321
116,5.590332164
117,5.589477031
118,10.95428892
119,6.097069343
120,6.055349486
121,6.013888472
122,6.47723428
123,6.457885122
124,6.186186583
125,5.810820827
126,5.598802233
127,5.089998104
128,5.215246611
129,5.265374919
130,6.369766655
131,5.152025839
132,7.670146806
133,19.42910844
134,5.801796738
135,6.409286165
136,6.867035476
137,7.143754587
138,6.352063326
139,5.640610948
140,5.868569401
141,5.219595663
142,5.093755757
143,5.822464797
144,5.719588891
145,5.719588891
146,5.719588891
147,5.102154714
148,5.470370304
149,5.398937306
150,5.844632722
151,4.897239807
152,17.36363319
153,5.257930886
154,5.326807006
155,6.993926022
156,6.438314978
157,6.154606774
158,5.27725683
159,5.74957478
160,4.549617795
161,5.556569007
162,5.748945018
163,6.874371229
164,7.778356222
165,5.579845266
166,5.753821446
167,5.639346171
168,5.993805001
169,5.639346171
170,5.636658735
171,11.30032123
172,5.704616808
173,14.36242911
174,20.32528519
175,23.57953428
176,6.823390596
177,5.941498911
178,7.299756985
179,5.592708855
180,6.273020702
181,7.062506761
182,5.682568617
183,7.187317379
184,5.693757191
185,5.5765134
186,5.646812626
187,6.768559686
188,6.017720299
189,6.017720299
190,6.561338543
191,10.89560665
192,5.865787036
193,5.779437948
194,6.01999688
195,6.656181465
196,16.40121748
197,10.87402998
198,7.394952613
199,6.253451258
200,6.254892754
201,6.253451258
202,6.248262941
203,7.275436215
204,5.765564516
205,6.067512737
206,6.056491025
207,5.795379574
208,6.559715921
209,6.168140849
210,6.757625189
211,5.679788591
212,5.689358574
213,5.76063139
214,5.743811111
215,7.020535084
216,7.252231148
217,6.875868539
218,8.007451155
219,17.32021614
220,6.15850001
221,6.115871965
222,6.220930875
223,5.90838346
224,6.839589686
225,6.201044608
226,6.943531483
227,5.905122213
228,6.295411836
229,5.624059483
230,6.447498961
231,6.593730176
232,5.687668497
233,7.877530127
234,5.729275145
235,5.797479641
236,6.771150297
237,12.72567398
238,5.635012646
239,11.32377327
240,5.60770657
241,6.097574187
242,6.955844798
243,6.293565202
244,5.984658884
245,5.734740652
246,7.34522336
247,5.811213313
248,10.0899674
249,6.608354168
250,5.810427525
251,6.155105208
252,7.61723592
253,8.024853312
254,6.773331649
255,14.61594976
256,6.304724554
257,5.829792076
258,6.448481148
259,5.693533088
260,6.596511216
261,5.611630591
262,6.114418965
263,6.238537085
264,6.021606709
265,6.416904646
266,5.664144815
267,7.120765732
268,6.356025713
269,6.742153336
270,6.993121494
271,6.924786155
272,6.734505338
273,6.178641183
274,19.15135526
275,5.510699153
276,5.6901655
277,6.636604767
278,6.14072344
279,6.778053039
280,5.860639287
281,5.904086156
282,6.368471009
283,5.677409776
284,5.820362911
285,5.732587763
286,5.641266179
287,5.787520437
288,5.892770935
289,5.880405138
290,5.799999783
291,6.140111443
292,6.102025596
293,5.812653077
294,5.793421602
295,7.124349655
296,5.784083504
297,7.420690541
298,6.242501404
299,5.828435183
300,6.803777566
301,10.00839822
302,6.242149605
303,5.879818237
304,5.733935735
305,5.569522868
306,6.191035733
307,5.611285848
308,5.600473503
309,5.658499078
310,6.34617112
311,7.518062535
312,7.17252763
313,6.660434857
314,6.486277342
315,5.930889956
316,6.169301025
317,7.255040839
318,5.639049595
319,5.665855627
320,5.666480359
321,5.630878462
322,6.254761914
323,5.644964327
324,6.428953582
325,6.423947194
326,5.630817715
327,5.782705171
328,5.716877326
329,5.882314574
330,5.851238062
331,6.111153146
332,5.689411313
333,5.804034179
334,6.492905052
335,5.789427202
336,5.971388656
337,6.525293397
338,5.965764227
339,6.963633247
340,5.712134766
341,6.824505033
342,5.908579162
343,6.042439005
344,6.298129748
345,7.544624953
346,6.747342476
347,6.766027833
348,7.410896283
349,6.468486415
350,5.790519725
351,5.812842226
352,7.27755172
353,6.960181002
354,5.69331595
355,6.057134552
356,5.869031714
357,5.958012854
358,5.637925131
359,5.844706533
360,5.942727758
361,6.936044249
362,5.861834901
363,6.595984277
364,6.705768149
365,6.056741391
366,4.909987656
367,4.571767219
368,5.727950857
369,11.64907071
370,6.116104776
371,9.440334154
372,6.438205561
373,6.305666547
374,6.485161999
375,7.39977052
376,6.427651178
377,5.772466688
378,6.463520084
379,5.762942717
380,8.887183661
381,5.793675379
382,5.808267981
383,5.617225404
384,6.738250444
385,6.220085111
386,6.344146766
